[18-Dec-2014 20:10:01 America/Bogota] Hello, errors!
[18-Dec-2014 21:10:03 America/Chicago] Hello, errors!
[18-Dec-2014 22:10:02 America/Chicago] Hello, errors!
[18-Dec-2014 23:10:03 America/Chicago] Hello, errors!
[19-Dec-2014 00:10:02 America/Chicago] Hello, errors!
[19-Dec-2014 01:10:02 America/Chicago] Hello, errors!
[19-Dec-2014 02:10:03 America/Chicago] Hello, errors!
[19-Dec-2014 03:10:03 America/Chicago] Hello, errors!
[19-Dec-2014 04:10:03 America/Chicago] Hello, errors!
[19-Dec-2014 05:10:02 America/Chicago] Hello, errors!
[19-Dec-2014 06:10:02 America/Chicago] Hello, errors!
[19-Dec-2014 07:10:02 America/Chicago] Hello, errors!
[19-Dec-2014 08:10:02 America/Chicago] Hello, errors!
[19-Dec-2014 09:10:03 America/Chicago] Hello, errors!
[19-Dec-2014 10:10:03 America/Chicago] Hello, errors!
[19-Dec-2014 11:10:02 America/Chicago] Hello, errors!
[19-Dec-2014 12:10:03 America/Chicago] Hello, errors!
[19-Dec-2014 13:10:03 America/Chicago] Hello, errors!
[19-Dec-2014 14:10:03 America/Chicago] Hello, errors!
[19-Dec-2014 15:10:02 America/Chicago] Hello, errors!
[19-Dec-2014 16:10:03 America/Chicago] Hello, errors!
[19-Dec-2014 17:10:03 America/Chicago] Hello, errors!
[19-Dec-2014 18:10:03 America/Chicago] Hello, errors!
[19-Dec-2014 19:10:02 America/Chicago] Hello, errors!
[19-Dec-2014 20:10:03 America/Chicago] Hello, errors!
[19-Dec-2014 21:10:03 America/Chicago] Hello, errors!
[19-Dec-2014 22:10:03 America/Chicago] Hello, errors!
[19-Dec-2014 23:10:02 America/Chicago] Hello, errors!
[20-Dec-2014 00:10:03 America/Chicago] Hello, errors!
[20-Dec-2014 01:10:02 America/Chicago] Hello, errors!
[20-Dec-2014 02:10:03 America/Chicago] Hello, errors!
[20-Dec-2014 03:10:02 America/Chicago] Hello, errors!
[20-Dec-2014 04:10:03 America/Chicago] Hello, errors!
[20-Dec-2014 05:10:03 America/Chicago] Hello, errors!
[20-Dec-2014 06:10:02 America/Chicago] Hello, errors!
[20-Dec-2014 07:10:03 America/Chicago] Hello, errors!
[20-Dec-2014 08:10:03 America/Chicago] Hello, errors!
[20-Dec-2014 08:56:45 America/Chicago] Hello, errors!
[20-Dec-2014 09:10:02 America/Chicago] Hello, errors!
[20-Dec-2014 10:10:02 America/Chicago] Hello, errors!
[20-Dec-2014 11:10:04 America/Chicago] Hello, errors!
[20-Dec-2014 12:10:03 America/Chicago] Hello, errors!
[20-Dec-2014 13:10:02 America/Chicago] Hello, errors!
[20-Dec-2014 14:10:03 America/Chicago] Hello, errors!
[20-Dec-2014 15:10:03 America/Chicago] Hello, errors!
[20-Dec-2014 15:12:03 America/Chicago] Hello, errors!
[20-Dec-2014 16:12:02 America/Chicago] Hello, errors!
[20-Dec-2014 17:12:03 America/Chicago] Hello, errors!
[20-Dec-2014 18:12:02 America/Chicago] Hello, errors!
[20-Dec-2014 19:12:02 America/Chicago] Hello, errors!
[20-Dec-2014 20:12:02 America/Chicago] Hello, errors!
[20-Dec-2014 21:12:03 America/Chicago] Hello, errors!
[20-Dec-2014 22:12:03 America/Chicago] Hello, errors!
[20-Dec-2014 23:12:03 America/Chicago] Hello, errors!
[21-Dec-2014 00:12:03 America/Chicago] Hello, errors!
[21-Dec-2014 01:12:03 America/Chicago] Hello, errors!
[21-Dec-2014 02:12:02 America/Chicago] Hello, errors!
[21-Dec-2014 03:12:02 America/Chicago] Hello, errors!
[21-Dec-2014 04:12:02 America/Chicago] Hello, errors!
[21-Dec-2014 05:12:03 America/Chicago] Hello, errors!
[21-Dec-2014 06:12:03 America/Chicago] Hello, errors!
[21-Dec-2014 07:12:03 America/Chicago] Hello, errors!
[21-Dec-2014 08:12:03 America/Chicago] Hello, errors!
[21-Dec-2014 09:12:02 America/Chicago] Hello, errors!
[21-Dec-2014 10:12:02 America/Chicago] Hello, errors!
[21-Dec-2014 11:12:02 America/Chicago] Hello, errors!
[21-Dec-2014 12:12:03 America/Chicago] Hello, errors!
[21-Dec-2014 13:12:03 America/Chicago] Hello, errors!
[21-Dec-2014 14:12:03 America/Chicago] Hello, errors!
[21-Dec-2014 15:12:03 America/Chicago] Hello, errors!
[21-Dec-2014 16:12:02 America/Chicago] Hello, errors!
[21-Dec-2014 17:12:03 America/Chicago] Hello, errors!
[21-Dec-2014 18:12:02 America/Chicago] Hello, errors!
[21-Dec-2014 19:12:04 America/Chicago] Hello, errors!
[21-Dec-2014 20:12:03 America/Chicago] Hello, errors!
[21-Dec-2014 21:12:02 America/Chicago] Hello, errors!
[21-Dec-2014 22:12:02 America/Chicago] Hello, errors!
[21-Dec-2014 23:12:03 America/Chicago] Hello, errors!
[22-Dec-2014 00:12:03 America/Chicago] Hello, errors!
[22-Dec-2014 01:12:03 America/Chicago] Hello, errors!
[22-Dec-2014 02:12:02 America/Chicago] Hello, errors!
[22-Dec-2014 03:12:01 America/Chicago] Hello, errors!
[22-Dec-2014 04:12:01 America/Chicago] Hello, errors!
[22-Dec-2014 05:12:01 America/Chicago] Hello, errors!
[22-Dec-2014 06:12:01 America/Chicago] Hello, errors!
[22-Dec-2014 07:12:01 America/Chicago] Hello, errors!
[22-Dec-2014 08:12:02 America/Chicago] Hello, errors!
[22-Dec-2014 09:12:01 America/Chicago] Hello, errors!
[22-Dec-2014 10:12:01 America/Chicago] Hello, errors!
[22-Dec-2014 11:12:01 America/Chicago] Hello, errors!
[22-Dec-2014 12:12:01 America/Chicago] Hello, errors!
[22-Dec-2014 13:12:01 America/Chicago] Hello, errors!
[22-Dec-2014 14:12:02 America/Chicago] Hello, errors!
[22-Dec-2014 15:12:02 America/Chicago] Hello, errors!
[22-Dec-2014 16:12:01 America/Chicago] Hello, errors!
[22-Dec-2014 17:12:01 America/Chicago] Hello, errors!
[22-Dec-2014 18:12:02 America/Chicago] Hello, errors!
[22-Dec-2014 19:12:01 America/Chicago] Hello, errors!
[22-Dec-2014 20:12:01 America/Chicago] Hello, errors!
[22-Dec-2014 21:12:01 America/Chicago] Hello, errors!
[22-Dec-2014 22:12:01 America/Chicago] Hello, errors!
[22-Dec-2014 23:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 00:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 01:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 02:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 03:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 04:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 05:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 06:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 07:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 08:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 09:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 10:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 11:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 12:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 13:12:02 America/Chicago] Hello, errors!
[23-Dec-2014 14:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 15:12:02 America/Chicago] Hello, errors!
[23-Dec-2014 16:12:02 America/Chicago] Hello, errors!
[23-Dec-2014 17:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 18:12:02 America/Chicago] Hello, errors!
[23-Dec-2014 19:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 20:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 21:12:01 America/Chicago] Hello, errors!
[23-Dec-2014 22:12:02 America/Chicago] Hello, errors!
